"","species","observed","predicted","subplot","plot","year","planted_richness","sown"
"1","Agropyron repens",85.625,89.4699994900048,4,1,6,1,1
"2","Agrostis scabra",0,0,4,1,6,1,0
"3","Andropogon gerardi",0,0,4,1,6,1,0
"4","Poa pratensis",0,0,4,1,6,1,0
"5","Schizachyrium scoparium",0,0,4,1,6,1,0
"6","Agropyron repens",0,0,8,1,6,1,0
"7","Agrostis scabra",231.075,94.1506858906211,8,1,6,1,1
"8","Andropogon gerardi",0,0,8,1,6,1,0
"9","Poa pratensis",0,0,8,1,6,1,0
"10","Schizachyrium scoparium",0,0,8,1,6,1,0
"11","Agropyron repens",0,0,9,1,6,1,0
"12","Agrostis scabra",0,0,9,1,6,1,0
"13","Andropogon gerardi",214.75,169.555819832646,9,1,6,1,1
"14","Poa pratensis",0,0,9,1,6,1,0
"15","Schizachyrium scoparium",0,0,9,1,6,1,0
"16","Agropyron repens",0,0,10,1,6,1,0
"17","Agrostis scabra",0,0,10,1,6,1,0
"18","Andropogon gerardi",0,0,10,1,6,1,0
"19","Poa pratensis",204.5,102.966252837713,10,1,6,1,1
"20","Schizachyrium scoparium",0,0,10,1,6,1,0
"21","Agropyron repens",0,0,15,1,6,1,0
"22","Agrostis scabra",86.75,99.9892111635752,15,1,6,1,1
"23","Andropogon gerardi",0,0,15,1,6,1,0
"24","Poa pratensis",0,0,15,1,6,1,0
"25","Schizachyrium scoparium",0,0,15,1,6,1,0
"26","Agropyron repens",137.85001,90.2144341178802,22,1,6,1,1
"27","Agrostis scabra",0,0,22,1,6,1,0
"28","Andropogon gerardi",0,0,22,1,6,1,0
"29","Poa pratensis",0,0,22,1,6,1,0
"30","Schizachyrium scoparium",0,0,22,1,6,1,0
"31","Agropyron repens",77.25,88.8747283759145,23,1,6,1,1
"32","Agrostis scabra",0,0,23,1,6,1,0
"33","Andropogon gerardi",0,0,23,1,6,1,0
"34","Poa pratensis",0,0,23,1,6,1,0
"35","Schizachyrium scoparium",0,0,23,1,6,1,0
"36","Agropyron repens",165.2,90.9613058975286,25,1,6,1,1
"37","Agrostis scabra",0,0,25,1,6,1,0
"38","Andropogon gerardi",0,0,25,1,6,1,0
"39","Poa pratensis",0,0,25,1,6,1,0
"40","Schizachyrium scoparium",0,0,25,1,6,1,0
"41","Agropyron repens",99.25,88.9005147768627,30,1,6,1,1
"42","Agrostis scabra",0,0,30,1,6,1,0
"43","Andropogon gerardi",0,0,30,1,6,1,0
"44","Poa pratensis",0,0,30,1,6,1,0
"45","Schizachyrium scoparium",0,0,30,1,6,1,0
"46","Agropyron repens",0,0,33,1,6,1,0
"47","Agrostis scabra",0,0,33,1,6,1,0
"48","Andropogon gerardi",0,0,33,1,6,1,0
"49","Poa pratensis",181.25,100.567666742035,33,1,6,1,1
"50","Schizachyrium scoparium",0,0,33,1,6,1,0
"51","Agropyron repens",0,0,34,1,6,1,0
"52","Agrostis scabra",0,0,34,1,6,1,0
"53","Andropogon gerardi",0,0,34,1,6,1,0
"54","Poa pratensis",123.25,108.206914256833,34,1,6,1,1
"55","Schizachyrium scoparium",0,0,34,1,6,1,0
"56","Agropyron repens",0,0,36,1,6,1,0
"57","Agrostis scabra",114.25,91.5387048594681,36,1,6,1,1
"58","Andropogon gerardi",0,0,36,1,6,1,0
"59","Poa pratensis",0,0,36,1,6,1,0
"60","Schizachyrium scoparium",0,0,36,1,6,1,0
"61","Agropyron repens",135.25,91.7730367608623,37,1,6,1,1
"62","Agrostis scabra",0,0,37,1,6,1,0
"63","Andropogon gerardi",0,0,37,1,6,1,0
"64","Poa pratensis",0,0,37,1,6,1,0
"65","Schizachyrium scoparium",0,0,37,1,6,1,0
"66","Agropyron repens",0,0,41,1,6,1,0
"67","Agrostis scabra",334.25,104.787380455419,41,1,6,1,1
"68","Andropogon gerardi",0,0,41,1,6,1,0
"69","Poa pratensis",0,0,41,1,6,1,0
"70","Schizachyrium scoparium",0,0,41,1,6,1,0
"71","Agropyron repens",0,0,43,1,6,1,0
"72","Agrostis scabra",145.5,89.4560651655514,43,1,6,1,1
"73","Andropogon gerardi",0,0,43,1,6,1,0
"74","Poa pratensis",0,0,43,1,6,1,0
"75","Schizachyrium scoparium",0,0,43,1,6,1,0
"76","Agropyron repens",0,0,44,1,6,1,0
"77","Agrostis scabra",202.75,93.2391922811134,44,1,6,1,1
"78","Andropogon gerardi",0,0,44,1,6,1,0
"79","Poa pratensis",0,0,44,1,6,1,0
"80","Schizachyrium scoparium",0,0,44,1,6,1,0
"81","Agropyron repens",0,0,53,1,6,1,0
"82","Agrostis scabra",0,0,53,1,6,1,0
"83","Andropogon gerardi",0,0,53,1,6,1,0
"84","Poa pratensis",0,0,53,1,6,1,0
"85","Schizachyrium scoparium",159.25,126.166870199674,53,1,6,1,1
"86","Agropyron repens",0,0,54,1,6,1,0
"87","Agrostis scabra",0,0,54,1,6,1,0
"88","Andropogon gerardi",178.5,109.575103643768,54,1,6,1,1
"89","Poa pratensis",0,0,54,1,6,1,0
"90","Schizachyrium scoparium",0,0,54,1,6,1,0
"91","Agropyron repens",0,0,55,1,6,1,0
"92","Agrostis scabra",0,0,55,1,6,1,0
"93","Andropogon gerardi",0,0,55,1,6,1,0
"94","Poa pratensis",0,0,55,1,6,1,0
"95","Schizachyrium scoparium",133.75,116.808939254366,55,1,6,1,1
"96","Agropyron repens",0,0,56,1,6,1,0
"97","Agrostis scabra",0,0,56,1,6,1,0
"98","Andropogon gerardi",0,0,56,1,6,1,0
"99","Poa pratensis",0,0,56,1,6,1,0
"100","Schizachyrium scoparium",143.25,106.153813027925,56,1,6,1,1
"101","Agropyron repens",45.5,69.7484962426183,63,1,6,1,1
"102","Agrostis scabra",0,0,63,1,6,1,0
"103","Andropogon gerardi",0,0,63,1,6,1,0
"104","Poa pratensis",0,0,63,1,6,1,0
"105","Schizachyrium scoparium",0,0,63,1,6,1,0
"106","Agropyron repens",30.25,36.6468744130629,5,2,6,1,1
"107","Agrostis scabra",0,0,5,2,6,1,0
"108","Andropogon gerardi",0,0,5,2,6,1,0
"109","Poa pratensis",0,0,5,2,6,1,0
"110","Schizachyrium scoparium",0,0,5,2,6,1,0
"111","Agropyron repens",0,0,8,2,6,1,0
"112","Agrostis scabra",146.75,42.5427548684717,8,2,6,1,1
"113","Andropogon gerardi",0,0,8,2,6,1,0
"114","Poa pratensis",0,0,8,2,6,1,0
"115","Schizachyrium scoparium",0,0,8,2,6,1,0
"116","Agropyron repens",0,0,10,2,6,1,0
"117","Agrostis scabra",0,0,10,2,6,1,0
"118","Andropogon gerardi",0,0,10,2,6,1,0
"119","Poa pratensis",0,0,10,2,6,1,0
"120","Schizachyrium scoparium",34,54.5539971745708,10,2,6,1,1
"121","Agropyron repens",0,0,11,2,6,1,0
"122","Agrostis scabra",119.25,45.5037313249457,11,2,6,1,1
"123","Andropogon gerardi",0,0,11,2,6,1,0
"124","Poa pratensis",0,0,11,2,6,1,0
"125","Schizachyrium scoparium",0,0,11,2,6,1,0
"126","Agropyron repens",0,0,13,2,6,1,0
"127","Agrostis scabra",0,0,13,2,6,1,0
"128","Andropogon gerardi",0,0,13,2,6,1,0
"129","Poa pratensis",0,0,13,2,6,1,0
"130","Schizachyrium scoparium",67.75,55.2436795500112,13,2,6,1,1
"131","Agropyron repens",0,0,15,2,6,1,0
"132","Agrostis scabra",0,0,15,2,6,1,0
"133","Andropogon gerardi",0,0,15,2,6,1,0
"134","Poa pratensis",0,0,15,2,6,1,0
"135","Schizachyrium scoparium",26.425,48.4568378807575,15,2,6,1,1
"136","Agropyron repens",54.75,34.9154651917507,18,2,6,1,1
"137","Agrostis scabra",0,0,18,2,6,1,0
"138","Andropogon gerardi",0,0,18,2,6,1,0
"139","Poa pratensis",0,0,18,2,6,1,0
"140","Schizachyrium scoparium",0,0,18,2,6,1,0
"141","Agropyron repens",44.75,32.4300138508719,20,2,6,1,1
"142","Agrostis scabra",0,0,20,2,6,1,0
"143","Andropogon gerardi",0,0,20,2,6,1,0
"144","Poa pratensis",0,0,20,2,6,1,0
"145","Schizachyrium scoparium",0,0,20,2,6,1,0
"146","Agropyron repens",25.725,35.4088480814657,22,2,6,1,1
"147","Agrostis scabra",0,0,22,2,6,1,0
"148","Andropogon gerardi",0,0,22,2,6,1,0
"149","Poa pratensis",0,0,22,2,6,1,0
"150","Schizachyrium scoparium",0,0,22,2,6,1,0
"151","Agropyron repens",25,33.7090727609123,23,2,6,1,1
"152","Agrostis scabra",0,0,23,2,6,1,0
"153","Andropogon gerardi",0,0,23,2,6,1,0
"154","Poa pratensis",0,0,23,2,6,1,0
"155","Schizachyrium scoparium",0,0,23,2,6,1,0
"156","Agropyron repens",0,0,34,2,6,1,0
"157","Agrostis scabra",0,0,34,2,6,1,0
"158","Andropogon gerardi",74.75,52.1502637551453,34,2,6,1,1
"159","Poa pratensis",0,0,34,2,6,1,0
